epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4154.12,1.13224,1.69662,1.11707,0.74158,0.69807,0.75507,0.49289,1.196,1.87544,1.21938,0.0011882,0.0011882,0.0011882
43,4252.58,1.12857,1.70496,1.14698,0.71636,0.67716,0.73888,0.47633,1.22742,2.00475,1.24322,0.0011684,0.0011684,0.0011684
44,4350.84,1.13473,1.69474,1.13058,0.76853,0.69807,0.75159,0.48609,1.21129,1.96535,1.23344,0.0011486,0.0011486,0.0011486
45,4448.97,1.13102,1.67699,1.11647,0.77646,0.66908,0.77267,0.48239,1.22782,1.90103,1.24558,0.0011288,0.0011288,0.0011288
46,4547.49,1.11234,1.64573,1.11177,0.75567,0.69565,0.75787,0.48014,1.23191,1.91034,1.22216,0.001109,0.001109,0.001109
47,4645.54,1.10134,1.65645,1.11214,0.7321,0.6865,0.73911,0.48092,1.23003,1.9665,1.25481,0.0010892,0.0010892,0.0010892
48,4743.94,1.09081,1.61115,1.10734,0.78139,0.65942,0.7546,0.48741,1.2426,1.95608,1.22817,0.0010694,0.0010694,0.0010694
49,4841.86,1.08729,1.60182,1.09764,0.77746,0.67509,0.74666,0.48905,1.20144,1.87438,1.23145,0.0010496,0.0010496,0.0010496
50,4940.07,1.06312,1.58455,1.09315,0.76635,0.68133,0.75626,0.49484,1.19902,1.86395,1.22257,0.0010298,0.0010298,0.0010298
51,5038.33,1.07021,1.55241,1.09195,0.76497,0.69082,0.76387,0.47927,1.25534,1.888,1.24889,0.00101,0.00101,0.00101
52,5136.61,1.07231,1.54482,1.08558,0.80643,0.62391,0.74957,0.48398,1.20955,1.93961,1.20803,0.0009902,0.0009902,0.0009902
53,5234.93,1.08578,1.58365,1.09286,0.79549,0.66908,0.76832,0.48301,1.22718,1.85291,1.23011,0.0009704,0.0009704,0.0009704
54,5333.06,1.0504,1.53098,1.08475,0.75599,0.67391,0.75941,0.49236,1.22506,1.92935,1.22813,0.0009506,0.0009506,0.0009506
55,5431.3,1.03618,1.52469,1.0803,0.76985,0.70531,0.77428,0.50523,1.2074,1.82861,1.23117,0.0009308,0.0009308,0.0009308
56,5529.57,1.03827,1.49771,1.06463,0.76165,0.71014,0.77643,0.49448,1.21741,1.80815,1.22014,0.000911,0.000911,0.000911
57,5627.79,1.03935,1.50558,1.06881,0.77609,0.67633,0.76053,0.49686,1.17572,1.82842,1.20596,0.0008912,0.0008912,0.0008912
58,5726.06,1.03817,1.48453,1.06582,0.75885,0.67648,0.75975,0.4819,1.22756,1.81511,1.24222,0.0008714,0.0008714,0.0008714
59,5824.4,1.04315,1.50349,1.07331,0.75743,0.71256,0.76194,0.49326,1.19048,1.82139,1.22211,0.0008516,0.0008516,0.0008516
60,5922.84,1.02044,1.45887,1.05936,0.75384,0.67315,0.75596,0.49377,1.17793,1.86799,1.21013,0.0008318,0.0008318,0.0008318
61,6020.87,1.00554,1.43279,1.05387,0.73542,0.72705,0.75421,0.49859,1.15283,1.83571,1.20233,0.000812,0.000812,0.000812
62,6119.01,1.00205,1.42044,1.04954,0.74647,0.73962,0.76851,0.4902,1.21329,1.8593,1.22072,0.0007922,0.0007922,0.0007922
